	na	nhit
space	1	3.20E+09
spaace	2	81100
spaaace	3	145000
spaaaace	4	178000
spaaaaace	5	175000
spaaaaaace	6	123000
spaaaaaaace	7	76900
spaaaaaaaace	8	57000
spaaaaaaaaace	9	52000
spaaaaaaaaaace	10	19000
spaaaaaaaaaaace	11	66000
spaaaaaaaaaaaace	12	9600
spaaaaaaaaaaaaace	13	7100
spaaaaaaaaaaaaaace	14	5100
	15	23800
	16	3740
	17	2370
	18	14400
	19	2120
	20	1850
	21	2660
	22	3270
	23	1700
	24	1150
	25	2730
	26	746
	27	10100
	28	1790
	29	1860
	30	1750
	31	2520
	32	2740
	33	1460
	34	1410
	35	1240
	36	1120
	37	1160
	38	1050
	39	742
	40	483
	41	459
	42	483
	43	487
	44	566
	45	443
	46	746
	47	284
	48	530
	49	441
	50	423
	51	3750
	52	1080
	53	161
	54	226
	55	5410
	56	194
	57	142
	58	159
	59	100
	60	121
	61	15700
	62	139
	63	303
	64	176
	65	132
	66	81
	67	141
	68	105
	69	282
	70	71
	71	7570
	72	65
	73	80
	74	92
	75	97
	76	60
	77	41
	78	61
	79	183
	80	69
	81	37
	82	47
	83	55
	84	42
	85	28
	86	29
	87	34
	88	81
	89	23
	90	47
	91	45
	92	45
	93	216
	94	41
	95	368
	96	368
	97	39
	98	31
	99	24
	100	38
	101	10
	102	3480
	103	24
	104	25
	105	28
	106	7
	107	25
	108	5
	109	27
	110	9
	111	57
	112	45
	113	38
	114	22
	115	25
	116	44
	117	9
	118	23
	119	9
	120	9
	121	10
	122	36
	123	19
	124	10
	125	0
	126	0
	127	0
	128	0
	129	0
	130	0
	131	0
	132	0
	133	0
	134	0
	135	0
	136	0
	137	0
	138	0
	139	0
	140	0
